label,perf_L1_dcache_load_misses,perf_L1_dcache_loads,perf_LLC_load_misses,perf_LLC_loads,perf_branch_instructions,perf_branch_miss_rate,perf_branch_misses,perf_cache_miss_rate,perf_cache_misses,perf_cache_references,perf_context_switches,perf_cpu_migrations,perf_cycles,perf_instructions,perf_ipc,perf_page_faults,t_wall,temp_aux-therm_c,temp_cpu-therm_c,temp_gpu-therm_c,temp_thermal-fan-est_c,temp_ttp-therm_c,ts_unix
normal,13947298.488708496,150000294.3984375,7618657.894180298,40798550.9440918,115909318.39892578,0.018514860221270437,2146044.8284988403,0.11169677071145694,34970458.12536621,313083877.9189453,44.965192367555574,0.739964180469542,420813048.88964844,681819519.9941406,1.6202432928189379,24.532404774799943,0.20020048200240126,38.695,38.387,37.822,38.341,37.585,1766331868.0512867
normal,15293458.413269043,159340305.16015625,8505162.181411743,44341125.04016113,123126599.44189453,0.019162575157142234,2359422.715648651,0.10841943229262845,36601260.14892578,337589483.49902344,44.42336272634566,0.6771804236632306,469770274.9980469,724274114.3632812,1.5417623313145825,23.117786280694418,0.3002481200019247,38.695,38.377,37.817,38.341,37.585,1766331868.1513216
normal,15631011.982879639,161247791.71679688,8742411.421447754,45196009.1171875,124600566.32641602,0.01672765224656617,2084274.94323349,0.11000651707233434,37759865.34442139,343251166.8339844,51.920087105827406,0.7335177395434584,486238113.57910156,732944507.8027344,1.5073777380544613,25.686511572508607,0.4002384960040217,38.695,38.379,37.811,38.341,37.585,1766331868.2513797
normal,35199434.80477905,333184144.6870117,20707623.02546692,99474517.71325684,257460475.44018555,0.01735582774693358,4468439.663383484,0.1265992009967616,93643951.58453369,739688330.1572266,99.65380082849879,1.6893757577981887,1045062833.1142578,1514473384.9414062,1.4491696929153228,52.77458564162953,0.5003664830001071,38.691,38.39,37.815,38.338,37.658,1766331868.3515697
normal,19526033.773468018,173154547.23828125,11954278.96810913,54283287.77392578,133801241.04785156,0.018586219706165415,2486859.2630729675,0.1280126844637239,50865458.52471924,397347018.67871094,47.983241290203296,0.7778210721517098,532745883.9765625,787066123.8105469,1.4773762641499317,26.762309445766732,0.600253442004032,38.691,38.378,37.801,38.338,37.658,1766331868.4513535
normal,19040164.761932373,166304929.62353516,11767545.167999268,52737088.49255371,128508354.70922852,0.018955917923738283,2435993.824382782,0.128270620389792,49337303.65374756,384634482.1894531,47.71492092509288,0.81746855882011,539678058.0996094,755931498.2890625,1.4007082314055073,27.545926496153697,0.7001834379989305,38.691,38.371,37.796,38.338,37.658,1766331868.5509844
normal,22381204.47885132,185578683.29882812,14295757.508422852,61228859.16040039,143401709.82202148,0.020656256279523826,2962142.4690055847,0.1385990309103111,61137503.19897461,441110610.92871094,51.457903552567586,0.9393778872963594,612436669.4375,843539469.5410156,1.3773497108129968,30.977524957444984,0.8001965389994439,38.69,38.371,37.792,38.325,37.753,1766331868.6513126
normal,21869198.494140625,174598144.76660156,14314704.70426941,59310063.92089844,134916748.2290039,0.02234067360970462,3014131.03666687,0.1391626594344073,58939670.88354492,423530788.5253906,56.02265359973535,0.9509612064794055,609390273.7822266,793627930.7578125,1.3023311413096588,32.13001127820462,0.9001941320020705,38.69,38.373,37.795,38.325,37.753,1766331868.7509966
normal,24439504.519622803,190496702.71972656,16250372.785507202,65925280.3203125,147201997.55639648,0.01965148323259736,2892737.586784363,0.14228404245273543,66613043.05493164,468169458.125,57.24360560171772,0.8676224134414952,625925473.1523438,865894103.2714844,1.3833821124272008,27.632342633325607,1.0000633710005786,38.69,38.373,37.795,38.325,37.753,1766331868.850912
normal,24968399.66897583,200068277.4008789,16304620.60748291,67771125.53918457,154598214.3552246,0.02032307703421293,3141911.419692993,0.14586811277388906,70652654.22424316,484359829.4423828,58.47875581169501,0.9685037005219783,635999532.0830078,909401260.9140625,1.4298772483929618,30.907262480992358,1.1002271510005812,38.673,38.389,37.8,38.326,37.858,1766331868.9510264
normal,24091408.54373169,192082098.72021484,15783060.346801758,65316962.58081055,148427076.28393555,0.018446476550137092,2737956.5820770264,0.1368326398028577,63802444.34313965,466280884.7001953,60.1648314811755,0.8029306781299965,635073880.3681641,873100448.7285156,1.374801382513737,29.98741734510986,1.2002367450040765,38.673,38.37,37.792,38.326,37.858,1766331869.0513186
normal,24833770.156677246,196653929.2705078,16342107.76272583,67226043.83898926,151959854.4362793,0.018170158695699795,2761134.6704826355,0.14208798909751935,68081638.81726074,479151258.66503906,60.848601486883126,0.940984941293209,634043110.6992188,893881496.6835938,1.4098118591617956,27.992086095560808,1.3002677000040421,38.673,38.388,37.789,38.326,37.858,1766331869.1513567
normal,24833770.156677246,196653929.2705078,16342107.76272583,67226043.83898926,151959854.4362793,0.018170158695699795,2761134.6704826355,0.14208798909751935,68081638.81726074,479151258.66503906,60.848601486883126,0.940984941293209,634043110.6992188,893881496.6835938,1.4098118591617956,27.992086095560808,1.4001542199985124,38.672,38.382,37.791,38.321,37.945,1766331869.2512045
normal,22719643.189941406,187770553.46484375,14542371.973602295,62107475.83984375,145095427.67749023,0.019947852324037535,2894342.164203644,0.12738398319037028,56953096.310913086,447097781.71875,57.81934401555918,0.9878768133203266,629129386.9580078,853502515.75,1.3566406743084922,29.814419394067954,1.5001385400028084,38.672,38.384,37.792,38.321,37.945,1766331869.3517022
normal,20378546.752441406,172788842.7685547,12832522.30406189,56043645.427856445,133518651.23022461,0.020085959539103693,2681850.226325989,0.1302042065078573,52847653.12536621,405882840.06152344,51.831085445708595,0.8767458263919252,555388463.3525391,785403830.765625,1.4141522242371123,25.74937120411778,1.6002382160004345,38.672,38.386,37.804,38.321,37.945,1766331869.451152
normal,17884207.038726807,153594133.82226562,11170935.752609253,49334248.83679199,118686376.1352539,0.017224253889126247,2044284.2757339478,0.13318322340668992,47729680.03210449,358376068.78125,45.49701247178018,0.7498311991948867,491521894.4472656,698155153.7363281,1.4203948219263542,28.07774587062886,1.7003104760005954,38.666,38.387,37.799,38.322,38.009,1766331869.5514345
normal,14657497.120025635,129896043.28222656,8977294.370117188,40741997.287475586,100374215.26367188,0.01857337470587281,1864287.910900116,0.12143419780204996,36209229.197265625,298179836.09765625,40.94172658852767,0.7110479094681068,440570533.5019531,590436560.375,1.3401635276917185,26.99452619801741,1.8003094309970038,38.666,38.394,37.783,38.322,38.009,1766331869.6517434
normal,13608569.234893799,120269090.37158203,8349123.604400635,37800914.4375,92935206.19628906,0.018701022872615578,1737983.4167480469,0.11215567675965665,31008016.594482422,276473001.5488281,38.09287556121126,0.601101650392593,376460370.109375,546677683.5078125,1.4521520109778976,29.52540416578995,1.9002402070036624,38.666,38.39,37.783,38.322,38.009,1766331869.7512631
normal,12894131.784332275,113370738.45214844,7936179.253662109,35771452.15576172,87604661.53125,0.015013668680158644,1315267.363067627,0.12258177341777456,32031684.704467773,261308706.92578125,42.479909582296386,0.6392850143747637,365175647.89453125,515321538.4199219,1.4111607424839985,30.614659561018925,2.0002473600034136,38.678,38.393,37.776,38.322,38.063,1766331869.8513112
normal,11321033.186889648,102099467.68896484,6859119.833480835,31604224.48010254,78895043.21435547,0.01401216984472133,1105490.745426178,0.11371755834029922,26413777.786254883,232275280.71972656,37.78614319849294,0.5387467921664211,336638233.75390625,464088489.49609375,1.3785970901788829,25.117498269537464,2.100243111002783,38.678,38.393,37.776,38.322,38.063,1766331869.9512093
normal,24779664.69882202,225011267.15771484,14955176.135223389,69293869.5690918,173872342.8034668,0.01965589653810559,3417616.780982971,0.12024246979745891,61337355.90881348,510113905.7783203,70.1410105607938,1.1547179068711557,665924355.71875,1022778487.0800781,1.5358778790665584,51.60018241335638,2.2002440369979013,38.678,38.408,37.783,38.322,38.063,1766331870.051261
normal,12448848.034973145,114403269.2709961,7455902.854003906,34916715.89135742,88402526.25488281,0.016778445875636074,1483257.0020370483,0.12774693712086718,32931366.45336914,257785957.10839844,39.67930521920789,0.6328753457637504,358479669.0761719,520014860.3222656,1.450611862207923,26.989867089141626,2.3002419469994493,38.677,38.405,37.788,38.329,38.094,1766331870.1513705
normal,12886625.361907959,114996773.47802734,7858820.821884155,35880784.03381348,88861143.14208984,0.019483691568403932,1731343.1053962708,0.13227396715688372,34793071.4720459,263037937.24414062,37.46127880050335,0.5792598451862432,356320522.63378906,522712606.71875,1.4669730580070224,29.228191650181543,2.4002538600034313,38.677,38.416,37.8,38.329,38.094,1766331870.2512772
